Wavelength [nm],Dim,Moderate,Bright 
511,1.33E-05,2.97E-04,4.50E-03
512,1.34E-05,3.00E-04,4.45E-03
513,1.36E-05,2.91E-04,4.41E-03
514,1.37E-05,2.82E-04,4.36E-03
515,1.32E-05,2.72E-04,4.24E-03
516,1.26E-05,2.62E-04,4.10E-03
517,1.19E-05,2.53E-04,3.96E-03
518,1.19E-05,2.42E-04,3.81E-03
519,1.16E-05,2.30E-04,3.66E-03
520,1.07E-05,2.18E-04,3.48E-03
521,9.66E-06,2.08E-04,3.29E-03
522,8.61E-06,2.00E-04,3.10E-03
523,9.39E-06,1.91E-04,2.99E-03
524,9.73E-06,1.83E-04,2.92E-03
525,9.17E-06,1.77E-04,2.91E-03
